"","SbjNum","SbjNam","Date","Duration","Upload","consentimiento","mayor_edad","genero","entidad","parentesco","Q_5_S","prision_preventiva","año_detencion","mes_detención","centro","frecuencia_visita_prev","razon_no_visita_prev_O1","razon_no_visita_prev_O2","razon_no_visita_prev_O3","razon_no_visita_prev_O4","razon_no_visita_prev_O5","razon_no_visita_prev_O6","S_11_5","frecuencia_visita_post","razon_no_visita_post_O1","razon_no_visita_post_O2","razon_no_visita_post_O3","razon_no_visita_post_O4","razon_no_visita_post_O5","razon_no_visita_post_O6","razon_no_visita_post_O7","razon_no_visita_post_O8","razon_no_visita_post_O9","razon_no_visita_post_O10","S_13_9","cierre_centro_O1","cierre_centro_O2","cierre_centro_O3","cierre_centro_O4","cierre_centro_O5","cierre_centro_O6","cierre_centro_O7","cierre_centro_O8","cierre_centro_O9","acceso_recursos","sis_videollamada","sis_videollamada_acceso","cosas_O1","cosas_O2","cosas_O3","cosas_O4","cosas_O5","cosas_O6","cosas_O7","cosas_O8","cosas_O9","cosas_O10","cosas_O11","cosas_O12","cosas_O13","cosas_O14","cosas_O15","costo_cambio","cosas_cambio","horas_traslado","minutos_traslado","traslado_cambio","gasto_visita","gasto_mes","T_situaciones_pago_1","T_situaciones_pago_2","T_situaciones_pago_3","T_situaciones_pago_4","T_situaciones_pago_5","T_situaciones_pago_6","T_situaciones_pago_7","T_situaciones_pago_8","T_situaciones_pago_9","T_medidas_visitas_1","T_medidas_visitas_2","T_medidas_visitas_3","T_medidas_visitas_4","T_medidas_visitas_5","T_medidas_visitas_6","T_medidas_visitas_7","T_medidas_visitas_8","T_medidas_visitas_9","medidas_internos_O1","medidas_internos_O2","medidas_internos_O3","medidas_internos_O4","medidas_internos_O5","medidas_internos_O6","medidas_internos_O7","medidas_internos_O8","medidas_internos_O9","medidas_internos_O10","medidas_internos_O11","medidas_internos_O12","confirmados_covid19","prueba_covid19","resultado_prueba_covid19","sintomas_covid19","informar_autoridades","razon_no_informar_O1","razon_no_informar_O2","razon_no_informar_O3","razon_no_informar_O4","razon_no_informar_O5","razon_no_informar_O6","S_34_5","medidas_positivo_covid19_O1","medidas_positivo_covid19_O2","medidas_positivo_covid19_O3","medidas_positivo_covid19_O4","medidas_positivo_covid19_O5","medidas_positivo_covid19_O6","medidas_positivo_covid19_O7","S_35_6","condiciones_aislamiento_covid19","afectacion_covid19_O1","afectacion_covid19_O2","afectacion_covid19_O3","afectacion_covid19_O4","afectacion_covid19_O5","afectacion_covid19_O6","afectacion_covid19_O7","afectacion_covid19_O8","afectacion_covid19_O9","afectacion_covid19_O10","S_37_9","servicio_medico","T_acceso_justicia_1","T_acceso_justicia_2","T_acceso_justicia_3","T_acceso_justicia_4","T_acceso_justicia_5","T_problemas_1","T_problemas_2","T_problemas_3","T_problemas_4","T_problemas_5","T_problemas_6","T_problemas_7","T_problemas_8","problemas_salud_O1","problemas_salud_O2","problemas_salud_O3","problemas_salud_O4","problemas_salud_O5","problemas_salud_O6","problemas_salud_O7","problemas_salud_O8","problemas_salud_O9","S_42_8","problemas_cambio","info_cambio","corrupcion_cambio","info_salud","medios_O1","medios_O2","medios_O3","medios_O4","medios_O5","medios_O6","medios_O7","S_47_6","hijos","ocupacion_O1","ocupacion_O2","ocupacion_O3","ocupacion_O4","ocupacion_O5","ocupacion_O6","ocupacion_O7","ocupacion_O8","ocupacion_O9","ocupacion_O10","ocupacion_O11","ocupacion_O12","ocupacion_O13","ocupacion_O14","ocupacion_O15","ocupacion_O16","ocupacion_O17","S_49_16","trabajo","razon_sin_trabajo","Q_51_S","ingresos","adicional","Q_53_S","salida_entidad","salida_consentimiento","salida","fecha","day"
"1",141725675,"campo",2021-02-18 10:53:45,1899-12-31 00:11:48,2021-02-18 11:07:41,1,1,2,18,2,NA,1,99,8,1,7,-1,-1,-1,-1,-1,-1,NA,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,20,-1,2500,3000,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,4,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,4,-1,-1,-1,-1,-1,-1,NA,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,2,99,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"2",141726120,"campo",2021-02-18 10:55:45,1899-12-31 00:24:06,2021-02-18 11:21:58,1,1,2,18,4,NA,1,2014,5,1,7,-1,-1,-1,-1,-1,-1,NA,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,30,-1,2800,99,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,-1,-1,99,99,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,99,99,99,1,1,99,2,2,2,99,1,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,NA,1,1,99,2,4,-1,-1,-1,-1,-1,-1,NA,3,6,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,NA,2,2,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"3",141726823,"campo",2021-02-18 11:11:38,1899-12-31 00:27:23,2021-02-18 11:41:08,1,1,2,16,4,NA,2,2010,10,1,3,-1,-1,-1,-1,-1,-1,NA,1,1,5,8,9,-1,-1,-1,-1,-1,-1,"Soy de la tercera edad y no nos permiten la visita",2,5,-1,-1,-1,-1,-1,-1,-1,2,2,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,30,-1,6000,6000,2,2,2,2,2,2,2,2,2,1,99,99,2,99,1,99,99,2,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,NA,4,6,-1,-1,-1,-1,-1,"Se contagio en Cefereso 2 antes traslado el Penal no contaba con lo necesario para afrontar esta Pandemia ni medicamentos, ni Doctores los tanques de oxigeno vacios, solo les dieron paracetamol para fiebre",-1,6,7,0,9,-1,-1,-1,-1,-1,-1,"Cuando nos enteramos que habia contagios y fallecimientos nos comunicamos a Trabajo Social y su respuesta diaria era "" su familiar esta bien no tenemos ningun reporte del area medica, hasta la semana que me llamo mi hijo me informo que habia estado muy grave y que todos estaban comtangiados",3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,4,5,7,-1,-1,-1,-1,NA,3,1,3,2,5,-1,-1,-1,-1,-1,-1,NA,2,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,3,1,"Por motivos de la emergencia sanitaria por lo cual no nos permiten visitarlos a personas de 60 y niños, algunos CPS otorgaron 2 llamadas a la semana(la normal semanal y una extraordinaria) El CPS #17 Michoacan solo les otorgo una llamada extraordinaria casa 15 dias, deberian unificar criterios tomando en consideracion que vamos a cumplir un año sin poder verlo y 10 minutos que es el tiempo de la llamada no es suficiente para mantenernos comunicados",-1,-1,-1,2021-02-18,"2021-02-18"
"4",141726837,"campo",2021-02-18 11:11:04,1899-12-31 00:28:43,2021-02-18 11:41:52,1,1,1,18,2,NA,1,2018,6,1,5,-1,-1,-1,-1,-1,-1,NA,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,3,4,7,-1,-1,-1,-1,-1,-1,1,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,30,2,1500,3000,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,4,5,8,9,-1,-1,-1,-1,-1,-1,99,2,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,-1,-1,-1,-1,-1,NA,1,1,3,2,4,-1,-1,-1,-1,-1,-1,NA,3,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,5,NA,1,1,"Que nos permitan el accseso de medicamentos a nuestras internas, ya que ahí no les dan atencion medica y mucho menos medicamentos. Y cuando los autorizan por asi decirlo ponen muchas trabas para aceptarlas y la mayoria de las veces no nos aceptan los medicamentos.",-1,-1,-1,2021-02-18,"2021-02-18"
"5",141726874,"campo",2021-02-18 11:23:08,1899-12-31 00:17:59,2021-02-18 11:43:16,1,1,2,16,1,NA,2,2016,3,1,7,-1,-1,-1,-1,-1,-1,NA,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,3,4,5,6,7,-1,-1,1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,30,-1,3000,2500,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,99,2,99,99,99,99,2,2,2,2,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,99,2,4,-1,-1,-1,-1,-1,-1,NA,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,3,2,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"6",141726899,"campo",2021-02-18 11:19:49,1899-12-31 00:22:18,2021-02-18 11:44:14,1,1,2,9,1,NA,2,2010,99,2,4,-1,-1,-1,-1,-1,-1,NA,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,3,4,5,6,-1,-1,-1,-1,-1,2,-1,1,2,4,5,6,7,10,11,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,600,3000,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,4,5,6,8,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,NA,1,6,-1,-1,-1,-1,-1,"Los medicamentos los aporte yo sin que supiera el personal",2,1,2,6,0,-1,-1,-1,-1,-1,-1,NA,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,3,4,6,-1,-1,-1,-1,-1,NA,1,1,1,2,4,5,-1,-1,-1,-1,-1,NA,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,1,2,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"7",141727262,"campo",2021-02-18 11:32:51,1899-12-31 00:19:59,2021-02-18 11:54:56,1,1,2,16,2,NA,1,2014,11,1,7,-1,-1,-1,-1,-1,-1,NA,1,1,3,5,6,8,-1,-1,-1,-1,-1,NA,1,2,3,4,5,-1,-1,-1,-1,99,99,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,99,99,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,99,99,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,99,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,99,99,99,99,99,99,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,1,99,2,4,5,-1,-1,-1,-1,-1,NA,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,2,99,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"8",141727582,"campo",2021-02-18 11:39:38,1899-12-31 00:24:18,2021-02-18 12:06:07,1,1,2,9,1,NA,2,2011,9,2,3,-1,-1,-1,-1,-1,-1,NA,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Ser adulto mayor",2,3,5,-1,-1,-1,-1,-1,-1,1,1,1,1,2,3,6,7,8,10,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,30,-1,1000,4000,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,3,4,5,6,8,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,4,-1,-1,-1,-1,-1,NA,6,-1,-1,-1,-1,-1,-1,"No resultó positivo",-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,"No me informo",3,2,2,2,1,99,1,2,2,2,1,2,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,NA,3,3,1,1,4,6,-1,-1,-1,-1,-1,"Llamo al centro para preguntar los protocolos que están llevando",2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,-1,NA,2,1,"La situación de los demás internos ha Sido diferente a la de mi esposo ya que yo siempre he luchado para que se respeten sus derechos",-1,-1,-1,2021-02-18,"2021-02-18"
"9",141727663,"campo",2021-02-18 11:46:26,1899-12-31 00:20:26,2021-02-18 12:09:00,1,1,2,19,1,NA,1,2015,7,1,6,-1,-1,-1,-1,-1,-1,NA,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,55,-1,3000,1270,2,2,2,2,2,2,2,2,2,1,99,99,99,99,1,99,1,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,1,1,-1,-1,-1,-1,-1,-1,NA,4,-1,-1,-1,-1,-1,-1,NA,-1,6,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,99,99,1,99,99,1,1,2,1,1,1,1,99,1,3,5,-1,-1,-1,-1,-1,-1,NA,1,1,99,99,4,6,-1,-1,-1,-1,-1,"Llamando al centro penitenciario",3,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,7,NA,2,99,NA,-1,-1,-1,2021-02-18,"2021-02-18"
"10",141727700,"campo",2021-02-18 11:43:26,1899-12-31 00:24:43,2021-02-18 12:10:16,1,1,2,10,4,NA,2,2014,3,1,6,-1,-1,-1,-1,-1,-1,NA,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,4,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,45,-1,2000,99,2,2,1,2,2,2,2,2,2,1,2,2,1,99,99,99,99,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,2,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,99,99,1,99,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,1,99,2,4,5,-1,-1,-1,-1,-1,NA,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,5,NA,2,2,NA,-1,-1,-1,2021-02-18,"2021-02-18"
